"date","yd1.Store_StaffGage","yp1.in_situ_average","yp2.TerraClimate","yp3.ERA5","yp4.CRUTS_adj","yp5.MERRA2","yp6.CAPA","yp7.NCEP_NARR","ye1.GLEV","ye2.CRUTS_PET","ye3.REA","ye4.ERA5","ye5.MERRA2","ye6.NCEP_NARR","yr1.DWP"
1950-12-01,"125.6025994",10819.0216,,15789.8318856699,22803.6553892747,,,,,6383.30275395228,,2666.87569512876,,,-95.49852568
1951-01-01,"70.382219300000003",3977.1389,,14941.675872403,12335.7809927149,,,,,6569.30782110015,,2758.19443047865,,,-61.340774468
1951-02-01,"77.195297109999998",8114.2662,,3372.81808735926,10204.1991206815,,,,,8401.2502444707,,2259.91490860242,,,-58.152559782
1951-03-01,"75.079173979999993",7800.4548,,3819.52673687388,3274.24100989248,,,,,13678.5062714957,,3238.98120581868,,,-37.92251442
1951-04-01,"117.9927709",6599.51305,,9146.06478254294,9080.26592335276,,,,,18693.1730294504,,5953.81812208709,,,-56.31229996
1951-05-01,"259.25876770000002",1746.64035,,2946.98809113891,3569.08533008937,,,,,26418.831593442,,11768.1496997091,,,-171.59917771
1951-06-01,"208.83696839999999",1908.848,,2772.40230056164,2784.93547739411,,,,,33289.7642721467,,13178.0922005934,,,-157.661683606
1951-07-01,"77.5317127",6957.377675,,2525.7095539695,1638.37002405422,,,,,39456.3053408036,,15038.3768279019,,,-103.9001013
1951-08-01,"25.69745167",2111.8879,,3257.43476360434,1287.37656419762,,,,,33943.1472589092,,14737.2998379466,,,-40.66258811
1951-09-01,"25.10306121",2031.987425,,311.046114663668,344.301417662475,,,,,27678.6608270169,,9802.21936945972,,,-21.89650583
1951-10-01,"24.50135264",2486.9292,,4319.06327335689,6739.67536204983,,,,,15898.8162185259,,7798.41271294789,,,-12.996452004
1951-11-01,"30.474248809999999",8008.9985,,11378.9175401743,13214.0400982595,,,,,9250.0131444723,,4369.98429468158,,,-21.563199716
1951-12-01,"57.990148419999997",11952.388475,,25182.0415277588,30638.2042710758,,,,,6130.74246179325,,3249.87027323987,,,-36.036037902
1952-01-01,"50.744666189999997",11480.893725,,29569.543410705,33037.6394404835,,,,,5951.09105297509,,977.789902533397,,,-40.42685419
1952-02-01,"53.811510759999997",5071.255,,6975.7180931715,5448.68112783,,,,,8440.2559050345,,372.0785929275,,,-29.737456376
1952-03-01,"50.604138110000001",21815.17625,,21741.9181194739,18938.9614453687,,,,,10108.406953139,,837.308448706065,,,-26.803284272
1952-04-01,"112.8658842",11042.53445,,7371.76653169762,13756.7192932755,,,,,18182.383637859,,725.088025237942,,,-62.447942006
1952-05-01,"352.06740259999998",1807.5947,,1599.28629109256,1093.78366936653,,,,,28390.2265568447,,6351.35290408337,,,-238.185579938
1952-06-01,"416.20855469999998",7316.255575,,4104.30308027593,2188.92532450563,,,,,30147.9602348533,,14242.172093622,,,-298.150383696
1952-07-01,"294.7696378",6162.137875,,10499.0098576484,8135.48093830873,,,,,38237.8753550568,,12781.3384435073,,,-195.248857354
1952-08-01,"82.271206140000004",744.2825,,1421.5760277496,1498.63807916375,,,,,35426.6754457567,,15086.9098782517,,,-86.155547952
1952-09-01,"67.957191449999996",2111.30215,,2797.37849053362,2356.86708157051,,,,,26341.5211955247,,10387.0697080604,,,-51.683390808
1952-10-01,"43.817756959999997",2820.59275,,941.362671725032,549.045238509533,,,,,19748.8250935694,,6679.91960578433,,,-19.375154092
1952-11-01,"28.566817539999999",2061.5368,,6167.44275355992,5766.96753952992,,,,,9984.78442910208,,5259.68008611984,,,-12.568865188
1952-12-01,"39.117473109999999",6212.8901,,27476.0193158718,24924.6380903917,,,,,5791.0538567499,,2685.6661991268,,,-18.956707042
1953-01-01,"34.866939289999998",3725.53025,,11456.5547123742,9169.66366714905,,,,,6521.46041819025,,1145.9288853792,,,-15.646439282
1953-02-01,"42.994126659999999",1976.0608,,1777.88410347168,682.49800934976,,,,,9335.72047998528,,2085.47780040192,,,-20.873293192
1953-03-01,"44.965719290000003",3001.73515,,8147.2756839631,6315.38015214824,,,,,13964.9604254604,,2555.36685893914,,,-19.17958628
1953-04-01,"61.466771710000003",8521.91385,,5751.13954768369,6607.37670905311,,,,,18795.4980122368,,5841.28278185828,,,-26.754288774
1953-05-01,"165.46556799999999",4058.602275,,5234.07110099471,8565.12762303782,,,,,22136.1284370368,,10921.506076677,,,-100.979060664
1953-06-01,"247.71781229999999",5124.7335,,3399.66587839854,7867.6000037421,,,,,30001.0074822449,,13229.7975491,,,-150.86945492
1953-07-01,"140.33275029999999",5491.207,,1808.79084323154,1187.58206897595,,,,,40211.2008661768,,14646.9781834471,,,-87.971985792
1953-08-01,"45.175674999999998",4105.5001,,1849.70428264401,1359.48938052252,,,,,32379.2899433153,,14581.5201919464,,,-43.043463702
1953-09-01,"31.773559819999999",2142.748375,,1083.78797263591,388.826251495643,,,,,26529.8196872385,,9555.596082746,,,-24.08782885
1953-10-01,"25.085118380000001",2611.104,,4335.2288319936,2394.294896016,,,,,16924.1448835392,,7367.4346731072,,,-12.92712867
1953-11-01,"26.9127166",2430.949125,,5689.46996892614,5957.0468993455,,,,,9222.64198202169,,4215.97227844443,,,-15.51395895
1953-12-01,"30.684677019999999",816.4924125,,4297.3454366671,4707.46800426964,,,,,7541.1303566929,,2789.93400231718,,,-16.01131231
1954-01-01,"27.886949730000001",6896.24635,,18149.0667557019,20935.0366312561,,,,,7178.4042946429,,1760.6146442779,,,-16.08798042
1954-02-01,"40.894159440000003",9046.603875,,13479.8480447764,14931.8703312979,,,,,8918.6162699944,,318.391423806998,,,-20.57958326
1954-03-01,"54.45241609",10023.639,,18725.7534329916,18544.0597242888,,,,,11497.0456706937,,1969.5584583759,,,-23.41348872
1954-04-01,"107.0255829",6065.2477,,1820.59517510032,4761.31914716158,,,,,20343.4556120098,,3156.81555275422,,,-53.77232436
1954-05-01,"222.8201674",4561.867,,965.16258325272,2352.93894906123,,,,,29274.9743457864,,11903.3755447817,,,-144.330074374
1954-06-01,"229.57997829999999",6332.5106,,2929.60989458826,7119.30640595616,,,,,30889.1674503625,,13020.6559150528,,,-168.657109
1954-07-01,"88.815331830000005",1936.374,,2322.41649598725,1234.45590077535,,,,,38672.0367582424,,14576.939415765,,,-100.3932969
1954-08-01,"26.189603219999999",146.42275,,422.817416832645,284.444983770735,,,,,32166.8881357852,,14043.4702921206,,,-36.51198433
1954-09-01,"25.998339219999998",875.6655,,594.11324464437,544.794086784938,,,,,25856.2652803187,,10245.324345126,,,-20.40351837
1954-10-01,"22.232354310000002",1528.863,,93.8010523887,277.84539686514,,,,,18126.2272431658,,6933.9147851922,,,-9.958667777
1954-11-01,"27.345388400000001",5378.875,,9094.3807259025,8350.45554405,,,,,9443.65191625125,,3781.2832904775,,,-13.5244228
1954-12-01,"33.509636110000002",3878.648925,,11879.2772755877,14275.8356172645,,,,,6737.2212015048,,3487.7635934831,,,-18.78513483
